Errors	,3	    	,13	7	0	11	7	17	2	0	5	4	3	5	0	1	13	0	0
Words	,41	    	,41	48	54	54	54	58	41	58	42	47	41	13	13	13	58	38	39
Chars	,213	    , 213	248	282	282	282	332	213	332	238	275	246	61	61	61	332	207	212
Time	,120.959	, 223.208	227.554	119.358	136.693	100.595	164.843	92.124	192.395	57.915	131.65	88.791	37.609	165.488	229.71	273.84	64.53	135.715
WPM	    ,20.33746972,	11.02111035	12.65633652	27.14522696	23.70274996	32.20836026	21.11099652	26.70313925	18.08778814	43.51204351	21.42043297	27.70551069	20.73971656	4.713332689	3.395585739	12.70815074	35.33240353	17.24201452
